class_name,precision,recall,ap50,f1_score
10C,1.0,1.0,0.995,1.0
10D,1.0,1.0,0.995,1.0
8C,1.0,1.0,0.995,1.0
8D,1.0,1.0,0.995,1.0
8H,1.0,1.0,0.995,1.0
8S,1.0,1.0,0.995,1.0
9C,1.0,1.0,0.995,1.0
9D,1.0,1.0,0.995,1.0
9H,1.0,1.0,0.995,1.0
9S,1.0,1.0,0.995,1.0
AC,1.0,1.0,0.995,1.0
AD,1.0,1.0,0.995,1.0
AH,1.0,1.0,0.995,1.0
AS,1.0,1.0,0.995,1.0
JC,1.0,1.0,0.995,1.0
JD,1.0,1.0,0.995,1.0
JH,1.0,1.0,0.995,1.0
JS,1.0,1.0,0.995,1.0
KC,1.0,1.0,0.995,1.0
KD,1.0,1.0,0.995,1.0
KH,1.0,1.0,0.995,1.0
KS,1.0,1.0,0.995,1.0
QC,1.0,1.0,0.995,1.0
QD,1.0,1.0,0.995,1.0
QH,1.0,1.0,0.995,1.0
7S,1.0,1.0,0.995,1.0
7H,1.0,1.0,0.995,1.0
7D,1.0,1.0,0.995,1.0
7C,1.0,1.0,0.995,1.0
10H,1.0,1.0,0.995,1.0
10S,1.0,1.0,0.995,1.0
2C,1.0,1.0,0.995,1.0
2D,1.0,1.0,0.995,1.0
2H,1.0,1.0,0.995,1.0
2S,1.0,1.0,0.995,1.0
3C,1.0,1.0,0.995,1.0
3D,1.0,1.0,0.995,1.0
3H,1.0,1.0,0.995,1.0
4C,1.0,1.0,0.995,1.0
4D,1.0,1.0,0.995,1.0
4H,1.0,1.0,0.995,1.0
4S,1.0,1.0,0.995,1.0
5C,1.0,1.0,0.995,1.0
5D,1.0,1.0,0.995,1.0
5H,1.0,1.0,0.995,1.0
5S,1.0,1.0,0.995,1.0
6C,1.0,1.0,0.995,1.0
6D,1.0,1.0,0.995,1.0
6H,1.0,1.0,0.995,1.0
6S,1.0,1.0,0.995,1.0
QS,1.0,1.0,0.995,1.0
3S,0.9893617021276596,1.0,0.995,0.9946524064171123
