epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,132.53,1.24113,2.72066,1.03501,0.4832,0.73577,0.60476,0.49344,0.70103,1.46373,0.88756,0.0670249,0.000333082,0.000333082
2,256.365,1.03544,1.30181,0.98793,0.90288,0.92386,0.97767,0.83691,0.6017,0.66719,0.8611,0.0340117,0.00065322,0.00065322
3,377.555,0.95865,0.89141,0.97003,0.97708,0.98216,0.99361,0.85994,0.57841,0.48259,0.85191,0.000985297,0.000960159,0.000960159
4,498.031,0.90712,0.7366,0.9532,0.99444,0.99597,0.99493,0.87143,0.54117,0.39276,0.84045,0.0009406,0.0009406,0.0009406
5,617.762,0.87528,0.6601,0.94439,0.99462,0.99598,0.9949,0.89051,0.48987,0.35802,0.82615,0.0009208,0.0009208,0.0009208
6,737.922,0.84917,0.61784,0.9351,0.99689,0.99846,0.99495,0.89763,0.4725,0.32286,0.81777,0.000901,0.000901,0.000901
7,857.975,0.82799,0.57662,0.92748,0.99736,0.99837,0.99494,0.89777,0.46733,0.30096,0.81614,0.0008812,0.0008812,0.0008812
8,977.956,0.81413,0.55733,0.9228,0.99763,0.9969,0.99492,0.90723,0.43948,0.2966,0.80934,0.0008614,0.0008614,0.0008614
9,1098.81,0.80271,0.53546,0.91842,0.99768,0.99835,0.99498,0.90476,0.45039,0.28396,0.81054,0.0008416,0.0008416,0.0008416
10,1219.48,0.79638,0.5181,0.91472,0.99849,0.99883,0.99499,0.9156,0.42123,0.26454,0.80403,0.0008218,0.0008218,0.0008218
11,1340.36,0.78098,0.50265,0.91087,0.99846,0.99918,0.995,0.91297,0.42625,0.26202,0.80351,0.000802,0.000802,0.000802
12,1461,0.69356,0.47888,0.88816,0.99796,0.99845,0.99495,0.91785,0.41312,0.25374,0.80132,0.0007822,0.0007822,0.0007822
13,1581.21,0.6474,0.4561,0.87496,0.99876,0.99939,0.99495,0.92281,0.4031,0.24237,0.7994,0.0007624,0.0007624,0.0007624
14,1701.93,0.62718,0.43969,0.86851,0.99841,0.99943,0.995,0.92388,0.39813,0.23892,0.79818,0.0007426,0.0007426,0.0007426
15,1822.99,0.61418,0.43101,0.86435,0.99861,0.99927,0.995,0.92492,0.39487,0.23064,0.79728,0.0007228,0.0007228,0.0007228
16,1944.08,0.59957,0.41848,0.8606,0.99891,0.9992,0.995,0.92819,0.38712,0.22691,0.7953,0.000703,0.000703,0.000703
17,2065.64,0.59025,0.41223,0.85872,0.99905,0.99938,0.995,0.93032,0.38463,0.2226,0.79452,0.0006832,0.0006832,0.0006832
18,2186.8,0.5826,0.40478,0.85692,0.99906,0.99963,0.99499,0.93126,0.3785,0.21854,0.79308,0.0006634,0.0006634,0.0006634
19,2307.61,0.5777,0.39877,0.85457,0.99916,0.99961,0.995,0.93277,0.37745,0.21597,0.79293,0.0006436,0.0006436,0.0006436
20,2428.67,0.56812,0.39257,0.85053,0.9992,0.99981,0.995,0.93287,0.37393,0.21287,0.79216,0.0006238,0.0006238,0.0006238
21,2549.47,0.56485,0.38455,0.84896,0.99921,0.99981,0.995,0.93412,0.37336,0.21034,0.79163,0.000604,0.000604,0.000604
22,2670.57,0.5595,0.38549,0.8492,0.99929,0.99979,0.995,0.93489,0.37207,0.20903,0.79133,0.0005842,0.0005842,0.0005842
23,2792.06,0.55156,0.37665,0.84733,0.99912,0.9998,0.995,0.93639,0.37123,0.20718,0.79082,0.0005644,0.0005644,0.0005644
24,2913.51,0.54636,0.37118,0.84603,0.99921,0.99982,0.995,0.93895,0.36543,0.20378,0.78972,0.0005446,0.0005446,0.0005446
25,3034.96,0.5387,0.36367,0.8429,0.99924,0.99993,0.995,0.94014,0.3648,0.20222,0.78941,0.0005248,0.0005248,0.0005248
26,3155.91,0.5375,0.36229,0.8422,0.99935,0.99995,0.995,0.93974,0.36332,0.20105,0.789,0.000505,0.000505,0.000505
27,3277.17,0.5352,0.36092,0.84334,0.9993,0.99996,0.995,0.94075,0.3622,0.19952,0.78892,0.0004852,0.0004852,0.0004852
28,3398.79,0.52818,0.35435,0.83995,0.99935,0.99997,0.995,0.94151,0.35986,0.19823,0.7883,0.0004654,0.0004654,0.0004654
29,3520.32,0.52578,0.35282,0.8404,0.99934,0.99995,0.995,0.9413,0.35955,0.19726,0.78828,0.0004456,0.0004456,0.0004456
30,3640.92,0.52152,0.34783,0.83913,0.99933,0.99993,0.995,0.94232,0.35966,0.19555,0.78796,0.0004258,0.0004258,0.0004258
31,3761.75,0.51774,0.34364,0.83882,0.99928,0.99985,0.995,0.94345,0.35848,0.19378,0.78766,0.000406,0.000406,0.000406
32,3882.64,0.51029,0.33667,0.83559,0.99935,0.99991,0.995,0.94308,0.35776,0.19301,0.78763,0.0003862,0.0003862,0.0003862
33,4003.41,0.50765,0.33352,0.83509,0.99937,0.99994,0.995,0.94305,0.35617,0.1918,0.78735,0.0003664,0.0003664,0.0003664
34,4125.09,0.50524,0.33546,0.83468,0.99936,0.99995,0.995,0.94397,0.35491,0.19076,0.78697,0.0003466,0.0003466,0.0003466
35,4245.89,0.5026,0.33088,0.8339,0.99934,0.99994,0.995,0.94421,0.35418,0.18993,0.78681,0.0003268,0.0003268,0.0003268
36,4367.41,0.49911,0.32654,0.83319,0.99936,1,0.995,0.94425,0.35403,0.18948,0.78666,0.000307,0.000307,0.000307
37,4488.73,0.49692,0.32634,0.8322,0.99935,0.99996,0.995,0.94463,0.35315,0.18853,0.78641,0.0002872,0.0002872,0.0002872
38,4609.78,0.4939,0.32272,0.83142,0.99935,0.99997,0.995,0.94521,0.35214,0.18763,0.78629,0.0002674,0.0002674,0.0002674
39,4730.61,0.48723,0.31682,0.82968,0.99937,0.99994,0.995,0.94575,0.35183,0.18695,0.78614,0.0002476,0.0002476,0.0002476
40,4851.74,0.48798,0.31818,0.83006,0.99937,0.99999,0.995,0.9461,0.35136,0.18664,0.78603,0.0002278,0.0002278,0.0002278
41,4969.6,0.54144,0.26494,0.8786,0.99938,1,0.995,0.94638,0.35109,0.18651,0.78606,0.000208,0.000208,0.000208
42,5087.12,0.53187,0.2584,0.87537,0.9994,1,0.995,0.94712,0.35037,0.18581,0.78599,0.0001882,0.0001882,0.0001882
43,5204.88,0.52147,0.25422,0.86879,0.9994,1,0.995,0.94732,0.35019,0.18568,0.78595,0.0001684,0.0001684,0.0001684
44,5322.66,0.51594,0.25151,0.86727,0.99939,1,0.995,0.94752,0.34999,0.18543,0.78593,0.0001486,0.0001486,0.0001486
45,5440.13,0.51027,0.24841,0.86351,0.99937,0.99997,0.995,0.94775,0.34962,0.18495,0.78585,0.0001288,0.0001288,0.0001288
46,5557.23,0.50798,0.24613,0.86332,0.99936,0.99995,0.995,0.9477,0.34939,0.18476,0.78579,0.000109,0.000109,0.000109
47,5674.51,0.50402,0.24425,0.86186,0.99936,0.99995,0.995,0.94756,0.34932,0.18442,0.78572,8.92e-05,8.92e-05,8.92e-05
48,5791.47,0.50155,0.24091,0.86193,0.99937,0.99994,0.995,0.94751,0.34931,0.18426,0.78569,6.94e-05,6.94e-05,6.94e-05
49,5908.85,0.49759,0.24032,0.86055,0.99938,0.99994,0.995,0.9476,0.34922,0.18399,0.78563,4.96e-05,4.96e-05,4.96e-05
50,6025.27,0.49631,0.23763,0.85945,0.99937,0.99993,0.995,0.94785,0.34937,0.18402,0.7856,2.98e-05,2.98e-05,2.98e-05
